sep=;
FrameUpdate;FrameFixed;timestampStartCycle;timestampStartCycleMillisecond;timestampStartFixed;timestampStartFixedMillisecond;timestampDifference;timestampUnityTime;timestampUnityTimeDifference;timestampEndFixed;timestampEndFixedMillisecond;teleportInfo;Command
56;90;2024-07-10 13:32:36.138;1720618356138;2024-07-10 13:32:36.179;1720618356179;41;1.78;0.01999998;2024-07-10 13:32:36.179;1720618356179;0;
56;91;2024-07-10 13:32:36.179;1720618356179;2024-07-10 13:32:36.180;1720618356180;1;1.8;0.01999998;2024-07-10 13:32:36.180;1720618356180;0;
57;92;2024-07-10 13:32:36.180;1720618356180;2024-07-10 13:32:36.221;1720618356221;41;1.82;0.01999998;2024-07-10 13:32:36.221;1720618356221;0;
58;93;2024-07-10 13:32:36.221;1720618356221;2024-07-10 13:32:36.248;1720618356248;27;1.84;0.01999998;2024-07-10 13:32:36.248;1720618356248;0;
58;94;2024-07-10 13:32:36.248;1720618356248;2024-07-10 13:32:36.249;1720618356249;1;1.86;0.0200001;2024-07-10 13:32:36.249;1720618356249;0;
59;95;2024-07-10 13:32:36.249;1720618356249;2024-07-10 13:32:36.277;1720618356277;28;1.88;0.01999998;2024-07-10 13:32:36.277;1720618356277;0;
59;96;2024-07-10 13:32:36.277;1720618356277;2024-07-10 13:32:36.277;1720618356277;0;1.9;0.01999998;2024-07-10 13:32:36.277;1720618356277;0;
60;97;2024-07-10 13:32:36.277;1720618356277;2024-07-10 13:32:36.304;1720618356304;27;1.92;0.01999998;2024-07-10 13:32:36.304;1720618356304;0;
61;98;2024-07-10 13:32:36.304;1720618356304;2024-07-10 13:32:36.346;1720618356346;42;1.94;0.01999998;2024-07-10 13:32:36.346;1720618356346;0;
61;99;2024-07-10 13:32:36.346;1720618356346;2024-07-10 13:32:36.347;1720618356347;1;1.96;0.01999998;2024-07-10 13:32:36.347;1720618356347;0;
62;100;2024-07-10 13:32:36.347;1720618356347;2024-07-10 13:32:36.387;1720618356387;40;1.98;0.01999998;2024-07-10 13:32:36.387;1720618356387;0;
62;101;2024-07-10 13:32:36.387;1720618356387;2024-07-10 13:32:36.388;1720618356388;1;2;0.0200001;2024-07-10 13:32:36.388;1720618356388;0;
63;102;2024-07-10 13:32:36.388;1720618356388;2024-07-10 13:32:36.429;1720618356429;41;2.02;0.01999998;2024-07-10 13:32:36.429;1720618356429;0;
64;103;2024-07-10 13:32:36.429;1720618356429;2024-07-10 13:32:36.471;1720618356471;42;2.04;0.01999998;2024-07-10 13:32:36.471;1720618356471;0;
64;104;2024-07-10 13:32:36.471;1720618356471;2024-07-10 13:32:36.472;1720618356472;1;2.06;0.01999998;2024-07-10 13:32:36.472;1720618356472;0;
65;105;2024-07-10 13:32:36.472;1720618356472;2024-07-10 13:32:36.512;1720618356512;40;2.08;0.01999998;2024-07-10 13:32:36.512;1720618356512;0;
65;106;2024-07-10 13:32:36.512;1720618356512;2024-07-10 13:32:36.513;1720618356513;1;2.1;0.01999998;2024-07-10 13:32:36.513;1720618356513;0;
66;107;2024-07-10 13:32:36.513;1720618356513;2024-07-10 13:32:36.541;1720618356541;28;2.12;0.01999998;2024-07-10 13:32:36.541;1720618356541;0;
67;108;2024-07-10 13:32:36.541;1720618356541;2024-07-10 13:32:36.568;1720618356569;27;2.14;0.01999998;2024-07-10 13:32:36.569;1720618356568;0;
67;109;2024-07-10 13:32:36.569;1720618356569;2024-07-10 13:32:36.569;1720618356569;1;2.16;0.01999998;2024-07-10 13:32:36.569;1720618356569;0;
68;110;2024-07-10 13:32:36.569;1720618356569;2024-07-10 13:32:36.609;1720618356609;40;2.18;0.02000022;2024-07-10 13:32:36.609;1720618356609;0;
68;111;2024-07-10 13:32:36.609;1720618356609;2024-07-10 13:32:36.611;1720618356611;2;2.2;0.01999998;2024-07-10 13:32:36.611;1720618356611;0;
69;112;2024-07-10 13:32:36.611;1720618356611;2024-07-10 13:32:36.652;1720618356652;41;2.22;0.01999998;2024-07-10 13:32:36.652;1720618356652;0;
70;113;2024-07-10 13:32:36.652;1720618356652;2024-07-10 13:32:36.680;1720618356680;28;2.24;0.01999998;2024-07-10 13:32:36.680;1720618356680;0;
70;114;2024-07-10 13:32:36.680;1720618356680;2024-07-10 13:32:36.681;1720618356681;1;2.26;0.01999998;2024-07-10 13:32:36.681;1720618356681;0;
71;115;2024-07-10 13:32:36.681;1720618356681;2024-07-10 13:32:36.721;1720618356721;40;2.28;0.01999998;2024-07-10 13:32:36.721;1720618356721;0;
71;116;2024-07-10 13:32:36.721;1720618356721;2024-07-10 13:32:36.721;1720618356721;0;2.3;0.01999998;2024-07-10 13:32:36.722;1720618356721;0;
72;117;2024-07-10 13:32:36.722;1720618356722;2024-07-10 13:32:36.763;1720618356763;42;2.32;0.01999998;2024-07-10 13:32:36.763;1720618356763;0;
73;118;2024-07-10 13:32:36.763;1720618356763;2024-07-10 13:32:36.792;1720618356793;29;2.34;0.01999998;2024-07-10 13:32:36.793;1720618356792;0;
73;119;2024-07-10 13:32:36.793;1720618356793;2024-07-10 13:32:36.793;1720618356793;1;2.36;0.01999998;2024-07-10 13:32:36.793;1720618356793;0;
74;120;2024-07-10 13:32:36.793;1720618356793;2024-07-10 13:32:36.831;1720618356831;38;2.38;0.01999998;2024-07-10 13:32:36.831;1720618356831;0;
74;121;2024-07-10 13:32:36.831;1720618356831;2024-07-10 13:32:36.832;1720618356832;1;2.4;0.01999998;2024-07-10 13:32:36.832;1720618356832;0;
75;122;2024-07-10 13:32:36.832;1720618356832;2024-07-10 13:32:36.861;1720618356861;29;2.42;0.01999998;2024-07-10 13:32:36.861;1720618356861;0;
76;123;2024-07-10 13:32:36.861;1720618356861;2024-07-10 13:32:36.902;1720618356902;41;2.44;0.02000022;2024-07-10 13:32:36.902;1720618356902;0;
76;124;2024-07-10 13:32:36.902;1720618356902;2024-07-10 13:32:36.903;1720618356903;1;2.46;0.01999998;2024-07-10 13:32:36.903;1720618356903;0;
77;125;2024-07-10 13:32:36.903;1720618356903;2024-07-10 13:32:36.930;1720618356930;27;2.48;0.01999998;2024-07-10 13:32:36.930;1720618356930;0;
77;126;2024-07-10 13:32:36.930;1720618356930;2024-07-10 13:32:36.931;1720618356931;1;2.5;0.01999998;2024-07-10 13:32:36.931;1720618356931;0;
78;127;2024-07-10 13:32:36.931;1720618356931;2024-07-10 13:32:36.970;1720618356970;39;2.52;0.01999998;2024-07-10 13:32:36.970;1720618356970;0;
79;128;2024-07-10 13:32:36.970;1720618356970;2024-07-10 13:32:36.999;1720618356999;29;2.54;0.01999998;2024-07-10 13:32:36.999;1720618356999;0;
